date,rate,timestamp
2024-02-12,15614.441059,2024-02-11 23:59:34+00:00
2024-02-11,15611.45,2024-02-10 23:59:55+00:00
2024-02-10,15611.45,2024-02-09 23:59:55+00:00
2024-02-09,15664.55,2024-02-08 23:59:56+00:00
2024-02-08,15654.177681,2024-02-07 23:59:55+00:00
2024-02-07,15746.529354,2024-02-06 23:59:59+00:00
2024-02-06,15775.268045,2024-02-05 23:59:59+00:00
2024-02-05,15727.466093,2024-02-04 23:59:56+00:00
2024-02-04,15731.2,2024-02-03 23:59:50+00:00
2024-02-03,15731.2,2024-02-02 23:59:40+00:00
2024-02-02,15733.129345,2024-02-01 23:59:50+00:00
2024-02-01,15775.181211,2024-01-31 23:59:45+00:00
2024-01-31,15790.654148,2024-01-30 23:59:50+00:00
2024-01-30,15835.210881,2024-01-29 23:59:59+00:00
2024-01-29,15782.976323,2024-01-28 23:59:16+00:00
2024-01-28,15775.25,2024-01-27 23:59:44+00:00
2024-01-27,15775.25,2024-01-26 23:59:40+00:00
2024-01-26,15819.188512,2024-01-25 23:59:59+00:00
2024-01-25,15722.026128,2024-01-24 23:59:59+00:00
2024-01-24,15725.45,2024-01-23 23:59:40+00:00
2024-01-23,15663.008916,2024-01-22 23:59:59+00:00
2024-01-22,15616.873612,2024-01-21 23:59:44+00:00
2024-01-21,15619.65,2024-01-20 23:59:39+00:00
2024-01-20,15619.65,2024-01-19 23:59:39+00:00
2024-01-19,15620.460119,2024-01-18 23:59:59+00:00
2024-01-18,15637.480011,2024-01-17 23:59:59+00:00
2024-01-17,15635.837081,2024-01-16 23:59:59+00:00
2024-01-16,15556.970892,2024-01-15 23:59:42+00:00
2024-01-15,15540.082017,2024-01-14 23:59:39+00:00
2024-01-14,15537.802185,2024-01-13 23:59:39+00:00
2024-01-13,15537.802185,2024-01-12 23:59:57+00:00
2024-01-12,15562.829042,2024-01-11 23:59:59+00:00
2024-01-11,15562.913883,2024-01-10 23:59:59+00:00
2024-01-10,15542.506144,2024-01-09 23:59:59+00:00
2024-01-09,15507.0,2024-01-08 23:59:57+00:00
2024-01-08,15506.836949,2024-01-07 23:59:39+00:00
2024-01-07,15503.35,2024-01-06 23:59:45+00:00
2024-01-06,15503.35,2024-01-05 23:59:33+00:00
2024-01-05,15517.6,2024-01-04 23:59:45+00:00
2024-01-04,15562.0,2024-01-03 23:59:32+00:00
2024-01-03,15505.056974,2024-01-02 23:59:59+00:00
2024-01-02,15390.0,2024-01-01 23:59:45+00:00
2024-01-01,15397.129671,2023-12-31 23:59:32+00:00
2023-12-31,15390.1,2023-12-30 23:59:52+00:00
2023-12-30,15390.1,2023-12-29 23:59:52+00:00
2023-12-29,15460.815058,2023-12-28 23:59:52+00:00
2023-12-28,15379.692284,2023-12-27 23:59:59+00:00
2023-12-27,15406.133324,2023-12-26 23:59:59+00:00
2023-12-26,15467.604953,2023-12-25 23:59:02+00:00
2023-12-25,15473.455438,2023-12-24 23:59:31+00:00
2023-12-24,15466.85,2023-12-23 23:59:57+00:00
2023-12-23,15466.85,2023-12-22 23:59:49+00:00
2023-12-22,15445.223618,2023-12-21 23:59:57+00:00
2023-12-21,15606.0,2023-12-20 23:59:57+00:00
2023-12-20,15461.974128,2023-12-19 23:59:59+00:00
2023-12-19,15451.735219,2023-12-18 23:59:57+00:00
2023-12-18,15529.677248,2023-12-17 23:59:27+00:00
2023-12-17,15528.85,2023-12-16 23:59:54+00:00
2023-12-16,15528.85,2023-12-15 23:59:38+00:00
2023-12-15,15475.544224,2023-12-14 23:59:39+00:00
2023-12-14,15360.0,2023-12-13 23:59:39+00:00
2023-12-13,15576.163694,2023-12-12 23:59:54+00:00
2023-12-12,15654.377147,2023-12-11 23:59:59+00:00
2023-12-11,15573.642182,2023-12-10 23:59:38+00:00
2023-12-10,15573.0,2023-12-09 23:59:48+00:00
2023-12-09,15573.0,2023-12-08 23:59:48+00:00
2023-12-08,15507.656461,2023-12-07 23:59:57+00:00
2023-12-07,15513.679948,2023-12-06 23:59:59+00:00
2023-12-06,15464.12785,2023-12-05 23:59:59+00:00
2023-12-05,15484.669144,2023-12-04 23:59:49+00:00
2023-12-04,15466.205415,2023-12-03 23:59:49+00:00
2023-12-03,15484.835831,2023-12-02 23:59:43+00:00
2023-12-02,15412.65,2023-12-01 23:59:32+00:00
2023-12-01,15558.55,2023-11-30 23:59:32+00:00
2023-11-30,15458.5,2023-11-29 23:59:32+00:00
2023-11-29,15349.5,2023-11-28 23:59:59+00:00
2023-11-28,15505.0,2023-11-27 23:59:59+00:00
2023-11-27,15542.738267,2023-11-26 23:59:33+00:00
2023-11-26,15539.826534,2023-11-25 23:59:41+00:00
2023-11-25,15539.826534,2023-11-24 23:59:45+00:00
2023-11-24,15634.5,2023-11-23 23:59:59+00:00
2023-11-23,15655.746542,2023-11-22 23:59:59+00:00
2023-11-22,15515.55,2023-11-21 23:59:59+00:00
2023-11-21,15389.05,2023-11-20 23:59:46+00:00
2023-11-20,15431.521849,2023-11-19 23:59:46+00:00
2023-11-19,15424.3,2023-11-18 23:59:51+00:00
2023-11-18,15424.3,2023-11-17 23:59:20+00:00
2023-11-17,15484.0,2023-11-16 23:59:47+00:00
2023-11-16,15518.842427,2023-11-15 23:59:59+00:00
2023-11-15,15458.671549,2023-11-14 23:59:47+00:00
2023-11-14,15682.700524,2023-11-13 23:59:59+00:00
2023-11-13,15691.28956,2023-11-12 23:59:50+00:00
2023-11-12,15694.05,2023-11-11 23:59:35+00:00
2023-11-11,15694.05,2023-11-10 23:59:57+00:00
2023-11-10,15714.836277,2023-11-09 23:59:59+00:00
2023-11-09,15625.015804,2023-11-08 23:59:59+00:00
2023-11-08,15651.452579,2023-11-07 23:59:59+00:00
2023-11-07,15576.391728,2023-11-06 23:59:59+00:00
2023-11-06,15627.519413,2023-11-05 23:59:35+00:00
2023-11-05,15589.1,2023-11-04 23:59:31+00:00
2023-11-04,15589.1,2023-11-03 23:59:38+00:00
2023-11-03,15852.4458,2023-11-02 23:59:59+00:00
2023-11-02,15908.185712,2023-11-01 23:59:31+00:00
2023-11-01,15919.0,2023-10-31 23:59:32+00:00
2023-10-31,15849.05945,2023-10-30 23:59:56+00:00
2023-10-30,15914.943597,2023-10-29 23:59:32+00:00
2023-10-29,15910.7,2023-10-28 23:59:55+00:00
2023-10-28,15910.7,2023-10-27 23:59:22+00:00
2023-10-27,15927.357867,2023-10-26 23:59:59+00:00
2023-10-26,15880.783333,2023-10-25 23:59:56+00:00
2023-10-25,15870.250172,2023-10-24 23:59:55+00:00
2023-10-24,15904.28754,2023-10-23 23:59:56+00:00
2023-10-23,15875.2697,2023-10-22 23:59:56+00:00
2023-10-22,15878.75,2023-10-21 23:59:40+00:00
2023-10-21,15878.75,2023-10-20 23:59:40+00:00
2023-10-20,15864.151685,2023-10-19 23:59:59+00:00
2023-10-19,15823.892743,2023-10-18 23:59:59+00:00
2023-10-18,15734.35,2023-10-17 23:59:59+00:00
2023-10-17,15681.403503,2023-10-16 23:59:59+00:00
2023-10-16,15683.408888,2023-10-15 23:59:40+00:00
2023-10-15,15703.0,2023-10-14 23:59:58+00:00
2023-10-14,15703.0,2023-10-13 23:59:58+00:00
2023-10-13,15749.349358,2023-10-12 23:59:59+00:00
2023-10-12,15699.910935,2023-10-11 23:59:58+00:00
2023-10-11,15728.065097,2023-10-10 23:59:59+00:00
2023-10-10,15708.380093,2023-10-09 23:59:58+00:00
2023-10-09,15610.184353,2023-10-08 23:59:58+00:00
2023-10-08,15648.15,2023-10-07 23:59:36+00:00
2023-10-07,15648.15,2023-10-06 23:59:14+00:00
2023-10-06,15632.22251,2023-10-05 23:59:59+00:00
2023-10-05,15598.12935,2023-10-04 23:59:36+00:00
2023-10-04,15628.610236,2023-10-03 23:59:59+00:00
2023-10-03,15542.0,2023-10-02 23:59:59+00:00
2023-10-02,15455.476932,2023-10-01 23:59:44+00:00
2023-10-01,15493.35,2023-09-30 23:59:49+00:00
2023-09-30,15493.35,2023-09-29 23:59:53+00:00
2023-09-29,15481.038353,2023-09-28 23:59:53+00:00
2023-09-28,15576.0,2023-09-27 23:59:59+00:00
2023-09-27,15500.050544,2023-09-26 23:59:59+00:00
2023-09-26,15411.942425,2023-09-25 23:59:53+00:00
2023-09-25,15375.078511,2023-09-24 23:59:53+00:00
2023-09-24,15357.05,2023-09-23 23:59:32+00:00
2023-09-23,15357.05,2023-09-22 23:59:47+00:00
2023-09-22,15408.09919,2023-09-21 23:59:48+00:00
2023-09-21,15368.0,2023-09-20 23:59:59+00:00
2023-09-20,15391.481691,2023-09-19 23:59:48+00:00
2023-09-19,15382.000227,2023-09-18 23:59:59+00:00
2023-09-18,15353.455414,2023-09-17 23:59:47+00:00
2023-09-17,15367.0,2023-09-16 23:59:52+00:00
2023-09-16,15367.0,2023-09-15 23:59:52+00:00
2023-09-15,15401.468503,2023-09-14 23:59:59+00:00
2023-09-14,15361.242601,2023-09-13 23:59:59+00:00
2023-09-13,15357.499306,2023-09-12 23:59:59+00:00
2023-09-12,15353.455414,2023-09-11 23:59:38+00:00
2023-09-11,15325.336869,2023-09-10 23:59:52+00:00
2023-09-10,15381.7,2023-09-09 23:59:33+00:00
2023-09-09,15381.7,2023-09-08 23:59:55+00:00
2023-09-08,15360.994776,2023-09-07 23:59:59+00:00
2023-09-07,15350.415374,2023-09-06 23:59:59+00:00
2023-09-06,15320.0,2023-09-05 23:59:59+00:00
2023-09-05,15234.412465,2023-09-04 23:59:59+00:00
2023-09-04,15234.08188,2023-09-03 23:59:55+00:00
2023-09-03,15257.736442,2023-09-02 23:59:57+00:00
2023-09-02,15257.736442,2023-09-01 23:59:58+00:00
2023-09-01,15237.897356,2023-08-31 23:59:59+00:00
2023-08-31,15222.879075,2023-08-30 23:59:59+00:00
2023-08-30,15201.55,2023-08-29 23:59:57+00:00
